date,unique_traders,total_pnl,avg_pnl,pnl_std,trade_count,median_pnl,total_volume,avg_trade_size,median_trade_size,buy_trades,buy_ratio,avg_price,price_volatility,min_price,max_price,profitable_ratio,avg_pnl_per_trader,price_range,volume_per_trader,pnl_volatility,rolling_pnl_7d,rolling_volume_7d,timestamp,value,classification,sentiment_value,sentiment_category,sentiment_score
2023-01-05,1,0.0,0.0,0.0,3,0.0,477.0,159.0,156.39,3,1.0,1898.1333333333332,0.4041451884326002,1897.9,1898.6,0.0,0.0,0.6999999999998181,477.0,0.0,0.0,477.0,1672896600,29,Fear,29,Fear,2
2023-05-12,1,0.0,0.0,0.0,9,0.0,50005.83,5556.203333333334,1935.95,7,0.7777777777777778,11038.3,17477.946554443974,2230.1,41867.0,0.0,0.0,39636.9,50005.83,0.0,0.0,25241.415,1683869400,49,Neutral,49,Neutral,3
2024-01-01,1,-129.53146,-7.196192222222223,85.84776860469921,18,0.0,264239.52999999997,14679.973888888888,9216.095000000001,10,0.5555555555555556,10373.330666666667,17773.70614824905,14.94,42693.0,0.0,-129.53146,42678.06,264239.52999999997,10.474103861539673,-43.17715333333334,104907.45333333332,1704087000,65,Greed,65,Greed,4
2024-01-02,1,0.0,0.0,0.0,6,0.0,2008.18,334.69666666666666,252.115,6,1.0,0.07612616666666668,0.0876728802091426,0.024577,0.25435,0.0,0.0,0.229773,2008.18,0.0,-32.382865,79182.635,1704173400,71,Greed,71,Greed,4
2024-01-03,1,8244.241409,60.176944591240876,111.95860869453276,137,27.04384,472974.7,3452.370072992701,1000.87,37,0.27007299270072993,2.725657408759124,2.904073684094302,0.004018,8.1169,1.0,8244.241409,8.112881999999999,472974.7,1.8300784624435567,1622.9419898,157941.048,1704259800,70,Greed,70,Greed,4
2024-01-04,2,2507.963406,32.57095332467532,92.06770180124278,77,0.54675,339470.47,4408.7074025974025,1041.48,32,0.4155844155844156,1332.2278167402596,1725.5880496159934,0.007531,3649.8,1.0,1253.981703,3649.792469,169735.235,2.7424810046597985,1770.4455591666665,188195.95166666666,1704346200,68,Greed,68,Greed,4
2024-01-05,1,0.0,0.0,0.0,14,0.0,87025.45,6216.103571428571,4871.745,14,1.0,2916.8142857142857,24.152746527779367,2885.5,2936.5,0.0,0.0,51.0,87025.45,0.0,1517.524765,173743.02285714285,1704432600,72,Greed,72,Greed,4
2024-01-06,1,91.510419,3.66041676,7.909299454844354,25,0.0,12834.62,513.3848,333.0,9,0.36,1.1308718,1.0389183982502748,0.007568,2.5841,1.0,91.510419,2.576532,12834.62,1.6971227815351762,1530.5976819999998,175508.39714285714,1704519000,70,Greed,70,Greed,4
2024-01-07,2,5065.839308,79.1537391875,207.33447463371925,64,0.0,362670.14999999997,5666.721093749999,423.28999999999996,6,0.09375,1312.7375605675,1705.9142479757836,0.0002933,3509.0,1.0,2532.919654,3508.9997067,181335.07499999998,2.586709949347605,2254.2890117142856,220174.72857142854,1704605400,71,Greed,71,Greed,4
2024-01-08,4,167.080017,2.9312283684210527,23.197203266011744,57,0.0,227774.53,3996.044385964912,1002.35,47,0.8245614035087719,18740.473002526316,28157.144286863113,0.000225,65310.0,1.0,41.77000425,65309.999775,56943.6325,5.90075190043684,2296.662079857143,214965.44285714283,1704691800,71,Greed,71,Greed,4
2024-01-09,1,137.433093,11.452757750000002,25.479618769976113,12,0.0,12359.68,1029.9733333333334,499.67499999999995,7,0.5833333333333334,44.57331249999999,64.01090091524229,0.14095,131.52,1.0,137.433093,131.37905,12359.68,2.046102500466301,2316.2953788571426,216444.22857142854,1704778200,76,Extreme Greed,76,Extreme Greed,5
2024-01-10,1,0.0,0.0,0.0,4,0.0,139954.32,34988.58,31787.215,4,1.0,62044.5,142.6055164898365,61921.0,62168.0,0.0,0.0,247.0,139954.32,0.0,1138.5466061428572,168869.88857142857,1704864600,73,Greed,73,Greed,4
2024-01-11,2,1040.475736,45.238075478260875,154.1983753462747,23,0.0,260981.03,11347.001304347827,2753.9,13,0.5652173913043478,27379.532136956524,34916.24329270276,0.51618,70632.0,1.0,520.237868,70631.48382,130490.515,3.3348787498470185,928.9055104285715,157657.11142857143,1704951000,76,Extreme Greed,76,Extreme Greed,5
2024-01-12,9,40886.364494,98.28453003365385,338.03944268346726,416,0.5600160000000001,814711.82,1958.441875,296.565,144,0.34615384615384615,6389.235122030456,23868.612594146103,4.53e-06,97403.0,1.0,4542.929388222223,97402.99999547,90523.53555555554,3.4047544221530197,6769.814723857143,261612.30714285714,1705037400,71,Greed,71,Greed,4
2024-02-01,1,783.979116,46.11641858823529,134.42834386429288,17,0.0,121348.74,7138.1611764705885,2439.38,9,0.5294117647058824,10199.892598764705,18953.92703976332,0.084411,43510.0,1.0,783.979116,43509.915589,121348.74,2.85311039956375,6868.738823428573,277114.32428571425,1706765400,63,Greed,63,Greed,4
2024-02-02,1,456.423473,10.867225547619048,41.93124714430262,42,0.0,474278.43,11292.343571428572,3708.865,19,0.4523809523809524,15601.771341142858,19639.423920350528,0.057923,43100.0,1.0,456.423473,43099.942077,474278.43,3.533365652826527,6210.250847,293058.3642857143,1706851800,63,Greed,63,Greed,4
2024-02-03,2,230.90060000000005,7.448406451612905,250.64780257055287,31,1.3124,63197.56,2038.6309677419354,269.86,28,0.9032258064516129,0.8005309032258064,0.6194783616347095,0.00419,1.3872,1.0,115.45030000000003,1.38301,31598.78,29.66805681119913,6219.368073142857,269547.3685714285,1706938200,60,Greed,60,Greed,4
